Rank,Company Name,Revenue,% Change,Net Operating Income,% Change,Profit,% Change,Assets,% Change,Net Worth,% Change,Equity Dividend,% Change,Employee Cost,% Change
326,Polyplex Corporation,"3,351.41",6.18,"3,207.67",0.18,221.44,662.53,"4,024.71",-5.48,"2,379.89",2.53,9.6,,293.44,-0.58
327,Lakshmi Vilas Bank,"3,349.43",16.59,"2,846.66",10.84,256.07,42.07,"34,462.83",23.44,"1,966.85",23.56,0,,334.71,21.56
328,Tamil Nadu Newsprint & Papers,"3,349.05",24.87,"3,198.98",18.27,264.56,1.83,"4,633.31",7.83,"1,704.65",12.92,0,,246.85,32.19
329,Gokul Agro Resources,"3,334.08",23.67,"3,298.83",23.68,20.68,119.77,499.04,21.07,206.46,10.79,0,,16.58,-2.36
330,Sundram Fasteners,"3,321.79",-3.63,"3,290.00",1.08,338.37,168.46,"1,957.57",24.47,"1,236.13",29.63,0,,377,-17.62
331,Patel Engineering,"3,295.91",-21.4,"2,925.55",-26.69,41.83,0,"7,490.78",2.16,0,0,0,,128.88,-7.21
332,Forbes & Company,"3,243.49",-2.96,"3,023.46",-6.42,85.01,0,"1,812.17",8.12,314.46,43.6,0,,679.53,4.97
333,Ipca Laboratories,"3,238.73",11.57,"3,210.64",10.46,194.54,108.87,"3,197.12",1.55,"2,455.26",8.68,0,,695.98,11.25
334,Rolta India,"3,223.56",-16.01,"3,179.88",-16.31,166.74,-9.28,"8,866.96",6.24,"2,584.63",12.03,0,,703.96,-11.18
335,DBS Bank,"3,200.60",34.94,"2,577.93",23.24,12.8,49.53,"37,388.98",-5.06,"4,616.50",4.5,0,,349.6,13.64
336,Aarti Industries,"3,197.04",7.89,"3,161.73",5.16,315.78,22.93,"2,990.62",20.53,"1,361.94",19.81,1.81,,152.28,26.16
337,Alembic Pharmaceuticals,"3,181.15",-2.69,"3,134.61",-0.99,403.17,-44.01,"2,051.24",17.06,"1,901.10",19.02,0,,558.83,18.18
338,Surya Roshni,"3,146.22",6.08,"3,145.46",6.12,66.22,4.94,"1,967.37",3.12,0,0,1.5,,199.64,7.53
339,Rane Holdings,"3,135.82",26.59,"2,970.93",23.42,136.82,108.76,"1,525.88",10.4,722,22.22,5,,441.11,22.3
340,SJVN,"3,127.00",2.91,"2,471.10",-1.01,"1,547.18",9.67,"14,778.54",-0.83,"11,488.55",1.65,930.74,,253.56,17.64
341,Minda Corporation,"3,115.22",25.04,"2,962.04",21.12,96.08,-10.43,"1,346.56",12.36,630.97,15.23,4.19,,497.11,19.36
342,ITD Cementation India,"3,114.82",0.7,"3,089.60",0.61,48.11,0,"1,022.73",-8.35,550.72,8.36,4.65,,253.8,14.11
343,Triveni Engineering and Industries,"3,113.87",48.38,"2,824.55",47.5,252.96,0,"2,597.97",10.07,835.38,42.29,0,,187.85,18.31
344,Va Tech Wabag,"3,105.11",21.87,"3,207.91",27.89,102.4,15.41,"1,527.27",2.76,824.06,-16.91,0,,243.97,15.45
345,Ashoka Buildcon,"3,097.63",6.59,"2,975.26",5.32,-9.96,0,"9,723.62",0.25,"1,671.65",-2.5,14.97,,118.2,23.27
346,Dhunseri Investments,"3,085.17",0,"2,507.88",0,362.59,0,"2,155.50",0,642.78,0,0,,22.94,0
347,Force Motors,"3,083.47",-2.47,"3,069.37",1.47,180.09,0.67,"1,900.81",24.01,"1,667.58",11.95,0,,350.08,15.04
348,Finolex Industries,"3,079.05",6.78,"2,987.64",5.08,354.85,37.66,"2,481.80",32.97,"2,314.78",45.54,0,,104.89,13.39
349,RSWM,"3,077.70",3.7,"2,986.63",1.82,104.1,-7.23,"2,192.24",7.59,708.33,13.5,0,,348.63,10.09
350,Zensar Technologies,"3,066.47",1.91,"3,060.38",3.68,234.87,-18.88,"1,683.33",14.75,"1,470.49",16.23,22.42,,"1,580.07",8.42
351,Team Lease Services,"3,064.26",21.58,"3,041.87",21.44,66.34,167.5,424.65,16.61,381.13,22.32,0,,"2,937.69",20.44
352,Dish TV India,"3,062.42",-2.05,"3,014.39",-1.49,109.28,-84.22,"1,756.46",3.76,273.07,-28.27,0,,143.99,17.19
353,Abbott India,"3,061.64",15.52,"2,902.56",11.02,276.65,8.38,"1,434.17",16.2,"1,386.94",16,0,,345.27,1.23
354,Glaxosmithkline Pharma,"3,037.86",-2.68,"2,999.99",5.71,336.81,-10.46,"2,284.21",-7.76,"2,006.85",-8.08,423.52,,483.01,8.94
355,JK Lakshmi Cement,"3,036.89",11.41,"2,921.56",10.86,85.76,"6,300.00","4,228.92",14.11,"1,400.97",6.13,0,,212.07,7.33
356,Sobha,"3,024.62",15.82,"2,229.05",14.71,160.75,16.43,"4,882.72",2.36,"2,644.48",3.11,0,,177.94,1
357,Supreme Petrochem,"3,014.79",10.66,"2,918.62",5.85,179.41,135.85,587.41,40.32,582.1,40.36,11.62,,35.31,0.89
358,Gokul Refoils and Solvent,"2,984.77",0.38,"2,282.41",-23.73,6.15,-44.84,446.32,9.56,277.12,0.04,0,,18.42,18.53
359,Mukand,"2,981.48",-2.01,"2,873.26",-2.68,-29.91,0,"3,339.79",-31.38,173.64,-15,0,,173.36,0.26
360,Janalakshmi Financial Services,"2,978.44",66.9,"2,820.27",72.78,170.11,6.13,"15,052.82",31.8,"2,396.69",95.1,21.35,,486.69,76.66
361,Bayer CropScience,"2,977.40",3.3,"2,802.80",1.22,291,-7.65,"2,140.30",11.8,"2,056.70",11.81,0,,245.1,11.06
362,Persistent Systems,"2,974.29",24.47,"2,878.44",24.48,301.47,8.72,"1,918.57",14.64,"1,899.26",14.57,48,,"1,800.82",28.01
363,JK Paper,"2,920.64",5.9,"2,881.15",4,171.82,207.21,"3,074.48",1.08,"1,321.52",48.99,0,,218.15,20.78
364,Akzo Nobel India,"2,901.70",7.43,"2,824.90",7,247,15.31,"1,090.50",-11.54,"1,008.40",-13.2,0,,262.5,11.23
365,Atul,"2,880.11",8.51,"2,833.94",9.22,322.97,17.79,"2,202.75",10.92,"1,965.94",21.75,37.02,,200.14,4.83
366,KPR Mill,"2,866.51",8.66,"2,816.60",8.31,286.82,36.12,"2,145.06",5.08,"1,285.96",16.84,0,,278.3,27.85
367,GHCL,"2,846.72",10.68,"2,810.54",11.06,380.05,47.45,"2,815.94",17.02,"1,346.52",29.98,0,,158.49,18.61
368,NIIT Technologies,"2,829.10",4.7,"2,802.10",4.25,250.1,-7.37,"1,971.20",3.76,"1,686.50",7.24,0,,"1,651.30",7.1
369,Sun TV Network,"2,828.27",-1.83,"2,645.72",6.96,"1,030.26",11.76,"4,045.44",15.87,"4,028.46",15.96,394.07,,116.48,9.07
370,Dhampur Sugar Mills,"2,806.85",22.85,"2,583.67",15.7,236.7,814.61,"2,887.00",20.85,644.7,60.94,39.84,,128.91,52.77
371,Capital First,"2,800.87",48.29,"2,800.29",48.27,238.92,43.76,"16,611.19",20.05,"2,303.84",35.24,0,,239.39,35.39
372,National Stock Exchange Of India,"2,792.50",13.96,"2,663.29",14.41,"1,218.82",93.22,"9,218.68",7.49,7,4.98,686.25,,240.18,10.18
373,JP Morgan Chase Bank,"2,787.99",5.86,"1,794.86",-2.82,952.29,35.44,"26,162.92",-6.64,"7,444.43",5.87,0,,170.26,12.23
374,SKF India,"2,786.05",10.91,"2,631.41",9.7,243.89,19.14,"1,874.56",6.69,"1,811.21",8.81,79.1,,222.18,9.31
375,Avanti Feeds,"2,783.91",35.55,"2,732.66",35.39,214.35,36.1,763.48,74.48,640.46,51.48,31.79,,73.35,26.29
376,TTML,"2,777.48",-7.57,"2,702.91",-9.06,"-2,356.47",0,"10,314.89",29.72,"-5,908.84",0,0,,125.9,5
377,Kirloskar Oil Engines,"2,770.10",8.38,"2,673.61",8.53,173.89,5.12,"1,684.31",12.81,"1,617.17",12.01,0,,202.34,3.21
378,Time Technoplast,"2,767.21",14.41,"2,754.61",13.7,147.1,6.49,"2,087.03",4.85,"1,317.54",13.76,12.04,,133.15,12.75
379,KEI Industries,"2,723.75",17.85,"2,670.59",13.59,98.3,57.15,"1,191.64",37.1,473.47,29.02,0,,110.95,33.93
380,Finolex Cables,"2,723.25",9.01,"2,444.84",3.58,400.25,21.77,"2,147.83",17.21,"2,056.51",21.25,0,,119.19,11.16
381,Kirloskar Brothers,"2,722.95",0.42,"2,656.82",0.56,3.83,0,"1,388.71",-5.02,898.07,-2.64,0,,468.6,8.86
382,Amtek Auto,"2,719.29",-32.14,"1,966.76",-35.07,"-2,533.46",0,"14,403.79",-26.84,0,0,0,,132.34,0.92
383,Blue Dart Express,"2,715.66",4.54,"2,689.50",4.94,139.84,-28.95,961.45,9.32,429.48,12.46,0,,554.85,5.63
384,Bilcare,"2,693.36",-9.98,"2,632.92",1.15,-84.54,0,"2,873.02",-5.35,613.56,-13.92,0,,527.43,3.32
385,HT Media,"2,681.65",0.9,"2,452.09",-1.98,170.25,-1.86,"3,677.95",7.36,"2,231.89",7.21,0,,583.53,6.35
386,BEML,"2,680.99",-3.28,"2,494.22",-16.15,84.76,31.66,"3,137.40",-2.65,"2,182.37",2.49,0,,785.11,3.37
387,BNP Paribas,"2,680.08",11.61,"2,334.29",19.19,354.98,4.29,"32,764.19",13.33,"5,098.02",31.13,0,,177.65,-0.59
388,IVRCL,"2,670.02",-12.76,"2,589.20",-13.31,-576.89,0,"10,642.75",-0.68,-790.19,0,0,,159.87,-13.49
389,Heritage Foods,"2,628.87",8.85,"2,642.89",11.02,66.82,20.55,475.46,24.49,300.68,25.34,0,,164.73,17.67
390,Jayaswal Neco Industries,"2,626.44",1.44,"2,516.42",-4.41,-459.31,0,"5,826.48",-6.55,"1,637.27",-22.79,0,,174.33,32.19
391,Asian Star Company,"2,607.16",25.67,"2,455.54",10.92,66.13,-11.02,"1,891.10",-4.44,839.99,7.27,2.41,,65.25,35.15
392,Jubilant Foodworks,"2,598.66",6.08,"2,583.39",5.96,57.77,-40.38,805.66,5.71,805.3,5.68,0,,594.75,3.16
393,Indiabulls Real Estate,"2,582.78",-19.21,"2,320.34",-21.6,396.89,34.06,"15,090.60",6.38,"4,042.99",1.25,0,,116.09,1.5
394,Lakshmi Machine Works,"2,578.86",-13.22,"2,499.21",-12.71,186.41,-18,"1,658.62",1.39,"1,558.41",1.56,45.07,,256.37,1.07
395,Sterlite Technologies,"2,575.54",18.88,"2,448.85",14.22,201.38,31.01,"2,167.24",8.32,880.07,16.62,19.9,,290.3,41.54
396,Sunil Hitech Engineers,"2,573.82",26.17,"2,559.61",26.63,39.46,-26.1,"1,327.39",14.39,519.13,11.37,0,,54.05,-23.54
397,Magma Fincorp,"2,561.76",-4.55,"2,518.33",-5.18,20.45,-90.33,"12,507.53",-13.15,"2,172.13",0.97,0,,293.32,-7.53
398,Sonata Software,"2,559.17",28.56,"2,521.13",29.92,153.72,-3.07,657.45,-0.87,584.59,24.12,36.81,,455.53,11.16
399,Puravankara,"2,555.92",37.63,"1,407.12",-11.17,127.11,53.42,"4,472.05",0.04,"2,388.22",4.59,0,,100.73,-9.28
400,Kajaria Ceramics,"2,552.36",2.52,"2,549.63",5.64,252.84,9.3,"1,474.61",9.13,"1,175.12",20.91,0,,288.71,14.44
401,Bata India,"2,548.53",0.1,"2,474.26",2.13,158.95,-26.88,"1,428.30",7.89,"1,324.32",8.47,0,,294.86,12.76
402,Emami,"2,539.79",4.89,"2,493.04",5.71,340.01,-6.35,"2,265.88",-2.33,"1,754.70",8.88,39.72,,233.55,12.39
403,India Glycols,"2,522.81",6.28,"2,499.57",7.54,35.04,0,"2,412.35",-8.12,752.33,4.76,0,,96.04,8.68
404,Garden Silk Mills,"2,521.70",6.45,"2,447.87",2.58,-102.08,0,"1,427.94",-8.22,-127.02,0,0,,124.34,6.26
405,Venkys (India),"2,521.37",16.34,"2,475.58",16.39,124.74,226.29,"1,085.53",-7.39,531.04,26.75,7.04,,145.87,13.57
406,Mangalore Chemicals & Fertilizers,"2,504.41",-12.76,"2,487.47",-16.22,19.41,0,"1,663.49",-8.64,363.32,5.77,0,,68.73,1.1
407,Mcnally Bharat Engineering Company,"2,483.87",-9.69,"2,171.79",-19.37,-56.94,0,"3,248.77",52.26,15.35,-103.75,0,,136.39,-9.26
408,Dixon Technologies (India),"2,483.78",75.04,"2,456.75",76.82,50.38,18.35,248.77,21.46,197.74,61.01,6.59,,64.01,16.47
409,Sanofi India,"2,474.60",12.07,"2,368.60",8,297,-7.62,"1,775.60",6.5,"1,735.30",6.67,156.7,,359.2,7.77
410,Indo Rama Synthetics (India),"2,472.85",-4.67,"2,468.04",-2.67,-81.43,0,829.88,-11.89,501.7,-16.61,0,,104.53,-1.14
411,AIA Engineering,"2,455.64",13.8,"2,246.01",7.03,456.77,-0.02,"2,873.32",13.82,"2,717.25",16.99,37.73,,106.71,4.18
412,Lycos Internet,"2,452.00",8.69,"2,452.00",8.69,429.25,7.44,"2,496.60",17.64,"2,408.55",18.53,0,,145.42,6.43
413,P&G Hygiene and Health Care,"2,448.81",3.16,"2,320.40",1.98,432.73,2.42,530.29,-67.97,"1,651.78",34.44,"1,175.08",,114.1,-2.77
414,Honeywell Automation India,"2,442.05",10.68,"2,410.07",10.17,169.45,20.02,"1,193.72",15.28,"1,180.28",15.49,0,,413.93,15.31
415,Asahi India Glass,"2,437.11",10.21,"2,374.56",7.5,131.33,51.04,"1,887.29",0.64,460.92,30.19,24.31,,239.36,18.16
416,SPML Infra,"2,401.68",14.83,"2,219.61",9.05,7.34,0,"2,286.52",16.9,457.48,-2.29,0,,85.15,10.93
417,Infinite Computer Solutions India,"2,378.26",11.97,"2,366.28",12.24,120.88,-0.12,"1,009.15",2.38,867.51,-4.83,0,,"2,021.70",15.33
418,Electrotherm (India),"2,375.35",15.99,"2,328.65",10.85,-81.44,0,"1,819.09",-6.47,"-1,269.47",0,0,,129.59,15.92
419,Essel Propack,"2,366.52",9.21,"2,302.29",8.22,190.32,11.89,"1,866.36",9.68,"1,038.99",7.69,0,,405.8,8.39
420,JM Financial,"2,359.26",40.04,"2,304.77",41.48,470.2,17.41,"15,340.68",48.52,"3,332.70",14.55,51.59,,305.81,15.88
421,Himachal Futuristic Communications,"2,355.65",-21.29,"2,377.56",-17.23,122.93,-20.99,"1,523.13",9.02,965.63,14.94,0,,152.49,-4.37
422,PI Industries,"2,354.24",9.41,"2,276.83",8.61,459.44,47.47,"1,786.93",32.28,"1,627.18",38.97,20.64,,222.62,15.3
423,Godfrey Phillips India,"2,334.21",-1.33,"2,281.46",-2.11,137.23,-19.12,"1,838.15",1.56,"1,660.45",5.37,0,,264.17,0
424,MBL Infrastructures,"2,331.99",-1.31,"2,281.32",-2.62,-65.8,0,"2,570.71",17.41,0,0,0,,36.17,-23.53
425,Redington India,"2,331.55",10.8,"2,683.75",132.05,464.22,9.61,"5,094.42",-11.06,"3,147.90",6.73,79.97,,627.25,16.2
426,Shankara Building Products,"2,328.42",13.38,"2,310.14",13.47,60.27,47.97,618.17,20.15,393.69,35.24,0,,49.4,19.64
427,DCB Bank,"2,325.60",21.19,"2,076.15",22.24,199.68,2.65,"22,769.90",27.45,"1,948.38",11.85,0,,308.03,25.68
428,Jagran Prakashan,"2,324.18",6.95,"2,282.95",9.8,349.32,-0.43,"2,716.67",19.65,"2,154.93",32.13,0,,373.99,15.9
429,Sutlej Textiles and Industries,"2,312.69",9.93,"2,249.62",8.47,157.94,10.09,"1,872.65",24.68,815.97,19.41,0,,265.67,20.84
430,Himatsingka Seide,"2,301.98",19.82,"2,138.41",13.17,182.1,45.38,"2,542.40",31.92,"1,066.72",8.48,0,,204.84,9.6
431,Bombay Dyeing & Mfg Co,"2,286.73",11.67,"1,714.07",-7.32,57.41,0,"3,942.86",2.87,342.72,8.45,14.46,,93.07,-8.92
432,Prime Focus,"2,278.85",19.66,"2,153.62",16.81,127.44,0,"2,424.94",-2.04,556.48,36.34,0,,"1,241.99",8.28
433,DB Corp,"2,278.17",10,"2,258.01",10.18,374.76,28.31,"1,723.88",9.15,"1,594.40",14.09,73.55,,428.59,9.64
434,Mercator,"2,271.62",-16.66,"2,115.39",-21.85,28.81,0,"2,935.64",-18.57,991.92,11.89,0,,36.42,-44.44
435,Page Industries,"2,250.89",19.53,"2,130.13",18.63,266.28,15.01,765.03,20.96,665.78,25.65,80.31,,375.62,20.13
436,PNC Infratech,"2,247.39",-20.15,"2,252.33",-20.6,118.28,-43.31,"4,713.12",7.86,"1,461.03",7.6,16.11,,118.96,24.89
437,Indo Count Industries,"2,231.90",3.44,"2,152.82",4.37,232.24,-7.62,"1,167.59",11.27,846.18,34.23,7.9,,106.76,19.15
438,Cochin Shipyard,"2,222.46",5.16,"2,059.49",3.49,312.18,7,"2,178.05",10.63,"2,031.02",11.34,86.66,,216.67,3.63
439,V-Guard Industries,"2,219.04",22.84,"2,150.63",15.48,151.8,35.92,664.49,33.24,637.11,35.33,0,,137.51,24.07
440,IFB Industries,"2,217.79",19.81,"2,190.65",18.13,49.09,56.54,546.08,15.89,465.69,11.78,0,,167.08,7.41
441,Pfizer,"2,213.62",7.6,"1,966.26",-2.29,336.78,10.43,"2,466.11",12.02,"2,418.88",11.8,0,,303.89,9.57
442,BS,"2,211.25",-48.62,"2,205.53",-48.64,-389.66,0,"1,743.43",20.87,0,0,0,,16,-10.61
443,Future Consumer,"2,207.08",27,"2,115.84",24.31,-61.01,0,"1,426.72",22.95,888.5,60.24,0,,98.06,0.14
444,Electrosteel Castings,"2,203.41",-2.13,"2,119.75",-3.83,165.25,0,"4,900.82",1.22,"2,636.40",5.85,21.48,,237.48,3.66
445,Huhtamaki PPL,"2,200.75",6.27,"2,177.78",6.89,85.15,10.69,918.81,-24.27,471.08,-23.52,23.06,,192.51,8.74
446,Prakash Industries,"2,187.34",6.59,"2,173.50",5.85,81,246.45,"3,185.34",5.55,"2,220.96",3.91,0,,154.88,7.65
447,PVR,"2,181.68",14.04,"2,119.43",14.59,95.79,-2.36,"1,832.19",15.37,965.01,9.51,0,,220.51,18.59
448,GE Power India,"2,177.99",18.68,"1,993.48",16.54,-2.46,0,907.78,-1.04,827.39,0.24,0,,486.75,-11.25
449,Wheels India,"2,170.50",7.57,"2,172.87",9.34,60.26,46.51,841.96,4.44,467.32,12.83,6.02,,252.34,8.85
450,Nahar Spinning Mills,"2,168.94",6.17,"2,132.12",5.08,45.97,-9.63,"1,594.70",-12.69,856.27,5.61,0,,196.85,0.06
451,Barclays Bank,"2,162.00",4.66,"1,609.40",-14.55,521.69,9.46,"8,326.10",-4.24,"6,640.52",8.53,0,,248.61,-0.96
452,Carborundum Universal,"2,154.62",8.38,"2,112.49",8.67,174.87,21.35,"1,611.95",1.97,"1,380.42",16.01,18.86,,271.51,8.53
453,ITI,"2,151.00",16.39,"1,591.87",27.19,304.88,21.37,"3,044.42",24.65,"-1,166.07",0,0,,262.14,-16.82
454,WABCO India,"2,141.23",12.74,"2,067.49",12.83,213.48,4.97,"1,283.03",18.69,"1,266.42",18.6,0,,191.11,9.27
455,Essar Shipping,"2,125.37",10.79,"2,187.80",27.64,-583.45,0,"4,609.09",-34.1,0,0,0,,212.66,55.57
456,Gujarat Alkalies & Chemicals,"2,119.24",3.71,"2,070.21",3.75,307.3,39.94,"3,789.57",15.06,"3,355.70",14.61,33.05,,169.76,4.73
457,The Fertilizers & Chemicals Travancore,"2,102.32",28.26,"1,935.53",8.97,-199.44,0,"1,062.15",56.82,"-1,511.60",0,0,,220,-12.32
458,Polaris Consulting & Services,"2,099.98",1.43,"2,079.74",1.38,161.44,58.12,"1,091.30",16.81,"1,091.30",16.81,0,,"1,384.44",-3.47
459,Siyaram Silk Mills,"2,098.96",-3.13,"2,078.74",-0.03,91.01,7.21,958.35,-0.21,596.6,17.51,0,,168.6,14.55
460,IL&FS Engineering & Construction,"2,095.68",-7.58,"1,906.40",-10.56,-25.96,0,"2,929.09",21.11,-83.65,0,0,,105.49,-25.09
461,HSIL,"2,089.21",2.91,"2,078.17",5.02,100.29,-7.56,"2,424.84",19.06,"1,446.53",4.33,0,,286.59,14.37
462,Mahanagar Gas,"2,086.59",-1.83,"2,033.97",-2.13,393.43,26.55,"1,856.94",6.41,"1,840.04",6.46,233.98,,80.87,7.67
463,Avadh Sugar & Energy,"2,078.13",0,"1,873.00",0,209.58,0,"1,661.82",0,327.02,0,0,,78.77,0
464,Ramky Infrastructure,"2,069.90",-11.19,"1,718.60",-16.09,-6.04,0,"3,586.52",-4.13,349.96,-1.67,0,,47.82,-1.24
465,Nilkamal,"2,061.52",5.63,"2,023.96",5.06,122.53,7.43,888.5,12.98,737.74,18.35,5.97,,154.57,7.83
466,Mcleod Russel India,"2,058.83",2.47,"1,870.82",-2.88,58.57,109.1,"2,969.94",4.76,"1,613.48",0.98,0,,839.77,11.88
467,Natco Pharma,"2,052.90",86.59,"2,020.20",93.82,486,209.36,"1,897.70",33.03,"1,649.30",27.29,0,,243.2,35.26
468,Sintex Industries,"2,043.59",101.05,"1,921.32",104.21,134.25,-78.64,"8,131.36",-32.05,"3,912.86",-29.54,0,,95.92,57.48
469,AU Small Finance Bank,"2,041.82",68.18,"1,440.78",19.15,761.87,209.02,"9,186.28",23.73,"1,987.59",86.36,0,,185.13,0.4
470,Ajanta Pharma,"2,036.12",11.89,"2,001.64",14.42,506.83,21.95,"1,577.73",23.72,"1,567.68",31.64,0,,295.42,15.11
471,Responsive Industries,"2,032.10",-10.58,"2,008.15",-10.72,30.05,64.84,"1,440.53",-1.83,911.65,3.42,0,,12.2,4.54
472,Trent,"2,030.44",14.23,"1,949.03",15.59,84.86,54.01,"1,957.77",3.76,"1,547.69",5.69,0,,192.53,17.52
473,Hindusthan National Glass & Industries,"2,026.95",-10.73,"1,860.60",-17.48,-114.39,0,"2,993.30",-11.86,398.02,-22.87,0,,211.15,-4.68
474,TVS Srichakra,"2,019.25",-9.05,"1,960.52",-10.26,147.62,-20.69,971.26,49.49,561.09,36.15,0,,206.84,-4.18
475,Orient Cement,"2,013.31",27.29,"2,010.12",27.85,-32.1,0,"2,375.09",-0.2,987.18,-5.09,0,,121.29,35.1
476,Brigade Enterprises,"2,009.71",-11.64,"2,024.14",-0.68,153.08,23.51,"4,611.36",8.87,"1,686.62",10.27,0,,143.32,14.45
477,Omaxe,"1,988.94",18.57,"1,626.75",17.39,102.09,33.02,"4,457.33",7.41,"2,118.62",4.34,0,,77.98,-0.9
478,MEP Infrastructure Developers,"1,973.56",-0.15,"1,729.07",-9.24,108.93,0,"3,675.71",-2.69,601.01,493.53,0,,73.35,-1.45
479,Laurus Labs,"1,972.99",9.18,"1,904.65",7.15,190.28,42.28,"2,244.44",17.65,"1,330.45",68.37,3.15,,227.58,29.7
480,Transport Corporation of India,"1,970.17",14.19,"1,942.54",12.48,80.69,-7.49,"1,074.14",15.12,646.57,12.45,0,,106.78,9.01
481,Orient Paper & Industries,"1,958.30",4.13,"1,914.72",2.45,50.59,140.68,950.9,5.58,507.34,24.28,0,,213.15,16.56
482,KKalpana Industries (India),"1,952.26",6.41,"1,943.97",4.64,25.71,125.72,638.65,5.2,271.19,12.18,0,,22.16,14.05
483,Schaeffler India,"1,941.27",8.2,"1,813.90",5.19,194.5,-1.51,"1,479.75",12.72,"1,450.66",12.69,19.94,,151.29,14.53
484,Phillips Carbon Black,"1,930.31",2.95,"1,926.95",1.73,68.69,331.47,"1,899.68",-8.58,"1,130.70",8.22,0,,81.97,12.61
485,Johnson Controls-Hitachi Air Conditioning India,"1,928.72",13.2,"1,971.59",20.18,81.04,62.14,536.1,-3.21,438.99,22.64,0,,122.52,10.4
486,Housing Development & Infrastructure,"1,919.82",10.12,723.77,-38.12,178.99,-45.67,"14,012.73",-0.25,"11,476.00",3,0,,38.87,-10.02
487,Ballarpur Industries,"1,919.79",-55.94,"2,053.89",-51.5,"-1,361.79",0,"11,224.91",-6.72,"1,193.02",-58.17,0,,306.2,2.21
488,Motilal Oswal Financial Services,"1,910.18",76.76,"1,807.76",67.43,359.97,112.9,"6,915.53",70.25,669.18,-53.42,35.88,,340.98,35.85
489,Phoenix Mills,"1,907.87",-2.57,"1,824.61",2.53,167.92,30.24,"6,439.83",-4.13,"2,187.18",7.89,0,,140.26,12.73
490,Linde India,"1,904.33",19.26,"1,878.49",19.91,15.55,-33.72,"3,212.59",4.17,"1,439.53",3.46,4.26,,102.03,10.39
491,Astral Poly Technik,"1,898.04",11.37,"1,888.84",12.58,144.68,43.32,"1,087.57",18.27,845.64,19.58,0,,88.66,18.21
492,Parag Milk Foods,"1,896.93",11,"1,730.74",5.2,17.13,-63.8,937.89,21.94,657.42,81.67,0,,79.45,18.35
493,Narayana Hrudayalaya,"1,890.69",17.78,"1,878.16",16.38,83.05,291.19,"1,336.34",3.72,963.08,9.94,0,,375.21,12.39
494,Century Plyboards (India),"1,854.31",11.88,"1,818.73",10.83,190.46,12.74,"1,346.02",32.9,708.62,33.42,0,,273.01,15.57
495,TTK Prestige,"1,839.99",14.48,"1,837.01",17.85,150.65,30.29,973.14,33.33,851.47,18.11,0,,140.09,22.98
496,Somany Ceramics,"1,820.26",5.93,"1,810.99",5.81,93.07,43.85,849.91,18.8,521.24,21.74,0,,157.64,27.96
497,Godawari Power & Ispat,"1,814.92",-7.67,"1,806.55",-8.91,-74.51,0,"3,072.91",5.53,696.93,-12.32,0,,77.02,-16.78
498,Indian Hume Pipe Company,"1,812.51",93.79,"1,799.54",91.66,98.78,239.45,685.57,5.8,399.61,30.31,4.84,,66.23,30.4
499,VRL Logistics,"1,812.39",4.69,"1,803.09",4.68,70.47,-32.4,745.08,-6,541.23,5.31,0,,266.08,10.46
500,Jai Balaji Industries,"1,810.06",45.5,"1,701.91",39.49,-237.93,-65.51,"2,533.40",-4.41,"-1,108.04",0,0,,57.6,6.96